Sakoe_Chiba,N,Time (s)
1,1,4547.796892
1,2,4099.358049
1,3,3665.321056
1,4,3412.263222
1,5,1830.615354
1,6,890.2707677
1,7,91.79509687
1,8,92.515553
1,9,7.581688166
1,10,91.96110725
1,11,7.695436001
1,12,7.756253958
1,13,7.739625216
1,14,7.691301584
1,15,7.732018948
1,16,7.802063704
1,17,8.023864746
1,18,7.987918854
1,19,8.040070534
1,20,8.0546453
2,1,4568.607075
2,2,4180.72903
2,3,3767.687607
2,4,3539.420149
2,5,2721.027123
2,6,1140.46884
2,7,723.2619529
2,8,91.64497232
2,9,7.606756687
2,10,92.59179521
2,11,7.799331188
2,12,91.32446575
2,13,91.80880404
2,14,7.742355585
2,15,91.67820549
2,16,7.972873211
2,17,7.835882425
2,18,7.891766548
2,19,8.112828016
2,20,8.211947203
3,1,4572.414819
3,2,4179.340277
3,3,3773.195037
3,4,3542.841801
3,5,3207.462873
3,6,1934.843267
3,7,720.8069496
3,8,626.272337
3,9,266.0733254
3,10,91.45867276
3,11,92.15745068
3,12,91.71217012
3,13,91.40877342
3,14,7.735703707
3,15,92.39776683
3,16,92.22643042
3,17,7.655804157
3,18,8.066324472
3,19,8.107937098
3,20,8.259297848
4,1,4556.941531
4,2,4191.355784
4,3,3747.761154
4,4,3542.259413
4,5,3195.913245
4,6,2581.589688
4,7,1020.010475
4,8,626.0053225
4,9,627.7394781
4,10,265.7759032
4,11,266.1643038
4,12,92.47776556
4,13,91.66971111
4,14,7.805194616
4,15,92.04628563
4,16,92.29934359
4,17,92.04897833
4,18,8.045732498
4,19,7.930169344
4,20,8.03106761
5,1,4546.13404
5,2,4164.180629
5,3,3747.055693
5,4,3551.661431
5,5,3190.293432
5,6,2625.256022
5,7,1779.424795
5,8,944.8531306
5,9,803.7866423
5,10,467.6137304
5,11,532.0035508
5,12,91.48986125
5,13,91.72293115
5,14,7.976385593
5,15,92.4586525
5,16,92.05910516
5,17,92.58509684
5,18,8.042824268
5,19,8.201237679
5,20,8.104171753
6,1,4532.01088
6,2,4162.199336
6,3,3748.065187
6,4,3526.612315
6,5,3365.124769
6,6,2629.458062
6,7,2026.91279
6,8,1394.979775
6,9,1195.878217
6,10,801.0585477
6,11,800.5378351
6,12,594.590344
6,13,92.09917402
6,14,151.523134
6,15,92.48500156
6,16,92.66929102
6,17,91.87816644
6,18,8.171125412
6,19,8.160860062
6,20,8.204046965
7,1,4548.188275
7,2,4169.644609
7,3,3752.400878
7,4,3531.308135
7,5,3354.703423
7,6,2871.153147
7,7,2031.873812
7,8,1432.921766
7,9,1482.448499
7,10,923.7127838
7,11,919.8416131
7,12,801.7810812
7,13,92.52363515
7,14,324.0772376
7,15,92.60228086
7,16,92.6470778
7,17,92.34597325
7,18,67.77811074
7,19,7.988775492
7,20,8.114583015
8,1,4567.967453
8,2,4168.338005
8,3,3828.469378
8,4,3546.596849
8,5,3372.661281
8,6,3244.08535
8,7,2030.849373
8,8,1650.146343
8,9,1508.603222
8,10,1023.662112
8,11,1099.880853
8,12,878.2754631
8,13,298.8760269
8,14,547.2508221
8,15,267.2262344
8,16,268.00863
8,17,91.86805582
8,18,68.65981746
8,19,152.9109292
8,20,67.93236208
9,1,4563.29272
9,2,4172.91313
9,3,3830.151225
9,4,3551.991068
9,5,3367.412824
9,6,3242.670272
9,7,2505.36212
9,8,1833.574083
9,9,1580.875789
9,10,1266.213967
9,11,1426.598047
9,12,972.888531
9,13,645.8630211
9,14,1027.062928
9,15,561.4029555
9,16,326.2847681
9,17,92.5997715
9,18,800.9396157
9,19,325.9350464
9,20,153.9686151
10,1,4553.110595
10,2,4189.833817
10,3,3942.163414
10,4,3540.495662
10,5,3364.679356
10,6,3366.680479
10,7,2522.670235
10,8,2062.885876
10,9,1666.083604
10,10,1289.881111
10,11,1577.956565
10,12,974.6265736
