Sakoe_Chiba,N,Time (s),,,
1,1,4573.226768,,,
1,2,4563.930163,,,
1,3,4296.974537,,,
1,4,3958.235269,,,
1,5,3705.535516,,,
1,6,3583.440387,,,
1,7,2371.254896,,,
1,8,1813.261472,,,
1,9,1168.311178,,,
1,10,824.6111636,,,
1,11,804.5797677,,,
1,12,473.2526157,,,
1,13,93.27550006,,,
1,14,92.86726427,,,
1,15,92.95150042,,,
1,16,93.11109805,,,
1,17,93.50497341,,,
1,18,7.884946823,,,
1,19,94.31814432,,,
1,20,93.24245882,,,
2,1,4586.67127,,,
2,2,4606.922431,,,
2,3,4360.914122,,,
2,4,4092.899884,,,
2,5,3713.890608,,,
2,6,3631.023024,,,
2,7,3356.812111,,,
2,8,2832.19779,,,
2,9,2287.996795,,,
2,10,1006.508769,,,
2,11,1060.41488,,,
2,12,830.6630886,,,
2,13,476.078738,,,
2,14,636.2760975,,,
2,15,269.5253191,,,
2,16,269.4279492,,,
2,17,93.92302251,,,
2,18,8.121984482,,,
2,19,94.56959915,,,
2,20,94.89255977,,,
3,1,4592.064467,,,
3,2,4572.262785,,,
3,3,4362.13284,,,
3,4,4168.359018,,,
3,5,3789.844913,,,
3,6,3715.12656,,,
3,7,3429.044305,,,
3,8,3330.883646,,,
3,9,3113.760084,,,
3,10,2265.879142,,,
3,11,2580.529058,,,
3,12,1758.265314,,,
3,13,754.7504289,,,
3,14,1009.8987,,,
3,15,762.4136496,,,
3,16,691.3126585,,,
3,17,148.2548873,,,
3,18,634.9163623,,,
3,19,476.1040645,,,
3,20,270.2553468,,,
4,1,4606.767309,,,
4,2,4598.836435,,,
4,3,4367.672394,,,
4,4,4273.528829,,,
4,5,3936.116766,,,
4,6,3800.624757,,,
4,7,3595.749712,,,
4,8,3542.978082,,,
4,9,3250.913776,,,
4,10,2681.357829,,,
4,11,2850.432241,,,
4,12,2800.43875,,,
4,13,2188.574372,,,
4,14,1880.596078,,,
4,15,2060.591223,,,
4,16,1867.974708,,,
4,17,844.0207155,,,
4,18,1571.808753,,,
4,19,1570.23127,,,
4,20,1511.81323,,,
5,1,4598.133057,,,
5,2,4601.839431,,,
5,3,4363.301264,,,
5,4,4297.28839,,,
5,5,4097.789378,,,
5,6,3777.73697,,,
5,7,3713.906589,,,
5,8,3660.838037,,,
5,9,3478.463384,,,
5,10,3129.613193,,,
5,11,3076.04487,,,
5,12,2860.628487,,,
5,13,2350.819024,,,
5,14,2502.409789,,,
5,15,2280.272338,,,
5,16,2003.809659,,,
5,17,1723.475653,,,
5,18,1964.103428,,,
5,19,1603.968222,,,
5,20,1610.204769,,,
6,1,4617.214414,,,
6,2,4615.744981,,,
6,3,4361.553314,,,
6,4,4304.50799,,,
6,5,4098.007215,,,
6,6,3862.592211,,,
6,7,3709.101598,
6,8,3662.025027,,,
6,9,3644.841619,,,
6,10,3478.938455,,,
6,11,3074.149045,,,
6,12,3026.012854,,,
6,13,2419.740444,,,
6,14,2747.937665,,,
6,15,2469.380574,,,
6,16,2290.096252,,,
6,17,2040.199389,,,
6,18,2310.25378,,,
6,19,2243.492019,,,
6,20,2243.094153,,,
7,1,4604.286462,,,
7,2,4611.268289,,,
7,3,4436.884501,,,
7,4,4290.695498,,,
7,5,4124.276143,,,
7,6,4006.184341,,,
7,7,3805.907986,,,
7,8,3736.550778,,,
7,9,3634.11424,,,
7,10,3583.044553,,,
7,11,3380.943693,,,
7,12,3433.841695,,,
7,13,2687.36804,,,
7,14,2799.413097,,,
7,15,2812.958067,,,
7,16,2702.620336,,,
7,17,2305.037523,,,
7,18,2556.474622,,,
7,19,2406.704084,,,
7,20,2410.700652,,,
8,1,4601.710506,,,
8,2,4590.596742,,,
8,3,4441.401048,,,
8,4,4316.072304,,,
8,5,4132.387713,,,
8,6,4074.611222,,,
8,7,3850.581898,,,
8,8,3786.522261,,,
8,9,3809.256949,,,
8,10,3658.599726,,,
8,11,3715.729029,,,
8,12,3494.621778,,,
8,13,3084.591507,,,
8,14,3317.048784,,,
8,15,3156.294221,,,
8,16,2988.147257,,,
8,17,2554.08274,,,
8,18,2947.924698,,,
8,19,2836.614195,,,
8,20,2628.272098,,,
9,1,4589.260704,,,
9,2,4595.490551,,,
9,3,4488.303672,,,
9,4,4308.758665,,,
9,5,4230.736951,,,
9,6,4312.612179,,,
9,7,3995.090099,,,
9,8,3869.060431,,,
9,9,3779.463812,,,
9,10,3716.124446,,,
9,11,3733.134377,,,
9,12,3555.924105,,,
9,13,3237.26204,,,
9,14,3475.19575,,,
9,15,3422.704843,,,
9,16,3053.383569,,,
9,17,2541.50928,,,
9,18,3162.044806,,,
9,19,2975.687431,,,
9,20,2727.681422,,,
10,1,4606.034888,,,
10,2,4602.11587,,,
10,3,4490.396576,,,
10,4,4312.184711,,,
10,5,4296.728523,,,
10,6,4315.505828,,,
10,7,4082.215911,,,
10,8,3906.270612,,,
10,9,3939.761302,,,
10,10,3812.786794,,,
10,11,3811.560661,,,
10,12,3551.758571,,,
10,13,3306.643855,,,
10,14,3752.0266,,,
10,15,3484.228321,,,
10,16,3223.579579,,,
10,17,2551.631509,,,
10,18,3592.232016,,,
10,19,3374.539463,,,
10,20,2840.988292,,,
11,1,4597.067478,,,
11,2,4583.525769,,,
11,3,4520.121453,,,
11,4,4284.954021,,,
11,5,4312.825828,,,
11,6,4305.213023,,,
11,7,4083.866399,,,
11,8,4005.102035,,,
11,9,4019.555484,,,
11,10,3795.306507,,,
11,11,3834.495655,,,
11,12,3549.935611,,,
11,13,3485.726321,,,
11,14,3725.013951,,,
11,15,3527.207031,,,
11,16,3219.352836,,,
11,17,2713.667889,,,
11,18,3755.345737,,,
11,19,3423.861386,,,
11,20,3131.060398,,,
12,1,4623.049629,,,
12,2,4610.070137,,,
12,3,4509.883847,,,
12,4,4279.596881,,,
12,5,4316.392742,,,
12,6,4291.439788,,,
12,7,4077.300286,,,
12,8,3995.054369,,,
12,9,4015.11615,,,
12,10,3790.571596,,,
12,11,3969.776716,,,
12,12,3607.241463,,,
12,13,3539.529493,,,
12,14,3831.635355,,,
12,15,3639.746506,,,
12,16,3231.522529,,,
12,17,2719.321726,,,
12,18,3766.35707,,,
12,19,3760.273735,,,
12,20,3199.199921,,,
13,1,4611.598433,,,
13,2,4608.981438,,,
13,3,4513.837353,,,
13,4,4307.165752,,,
13,5,4353.592874,,,
13,6,4315.201935,,,
13,7,4197.67123,,,
13,8,4162.447193,,,
13,9,4132.751472,,,
13,10,3823.425537,,,
13,11,4007.659436,,,
13,12,3664.136483,,,
13,13,3614.464895,,,
13,14,3838.952024,,,
13,15,3688.552547,,,
13,16,3542.333882,,,
13,17,3046.354463,,,
13,18,3911.92978,,,
13,19,3915.743257,,,
